filename,file_id,status,raw_size_bytes,download_time_seconds,processing_time_seconds,peak_memory_mb,processed_rows,processed_size_bytes,error
sms-call-internet-mi-2013-11-01.txt,2674255,completed,322874887,6.381054120000044,12.692886516999351,287.74609375,1439982,95153522,
sms-call-internet-mi-2013-11-02.txt,2674265,completed,315164060,6.558921034999003,11.483502729000977,286.3671875,1439986,93327716,
sms-call-internet-mi-2013-11-03.txt,2674273,completed,313058344,7.769742493999729,12.744831369998792,287.265625,1439963,93541246,
sms-call-internet-mi-2013-11-04.txt,2674282,completed,361097689,8.563512402000924,14.118002449000414,291.15625,1439976,92982638,
sms-call-internet-mi-2013-11-05.txt,2674279,completed,372894401,9.597114868000062,14.253600498001106,291.1796875,1439977,93079434,
sms-call-internet-mi-2013-11-06.txt,2674283,completed,374625924,8.80468875400038,14.655452486000286,288.19921875,1439980,93175147,
sms-call-internet-mi-2013-11-07.txt,2674271,completed,373036285,10.988488213000892,15.359282299999904,292.6484375,1439981,92941626,
sms-call-internet-mi-2013-11-08.txt,2674261,completed,376123111,8.425542844999654,14.584704783001143,292.3125,1439976,93262233,
sms-call-internet-mi-2013-11-09.txt,2674268,completed,332440742,9.377882617000068,12.525124997000603,287.84375,1439978,94009860,
sms-call-internet-mi-2013-11-10.txt,2674259,completed,314441422,7.464831370998581,12.006116762999227,292.7890625,1439983,93871639,
sms-call-internet-mi-2013-11-11.txt,2674272,completed,351945243,21.29912207900088,13.425651417999688,292.65625,1439985,92752374,
sms-call-internet-mi-2013-11-12.txt,2674284,completed,358347374,8.422711269999127,13.660982780000268,293.28125,1439975,92821282,
sms-call-internet-mi-2013-11-13.txt,2674257,completed,362539357,7.9367068390001805,14.059949307000352,288.53125,1439975,92903559,
sms-call-internet-mi-2013-11-14.txt,2674267,completed,363552765,8.976522343000397,14.098179951999555,287.7734375,1439975,92914619,
sms-call-internet-mi-2013-11-15.txt,2674281,completed,364814415,8.77353907199904,13.915126301000782,287.80078125,1439971,93274755,
sms-call-internet-mi-2013-11-16.txt,2674256,completed,321048116,6.948922286999732,11.907729832999394,292.3671875,1439967,94097368,
sms-call-internet-mi-2013-11-17.txt,2674266,completed,307197776,7.5284425409990945,11.52093943699947,290.0859375,1439970,93676024,
sms-call-internet-mi-2013-11-18.txt,2674260,completed,348325345,8.108975069000735,13.037842714998988,291.47265625,1439970,92593193,
sms-call-internet-mi-2013-11-19.txt,2674280,completed,356545029,8.061151449001045,13.15038979700148,287.3984375,1439979,92657695,
sms-call-internet-mi-2013-11-20.txt,2674263,completed,360144384,8.02799136899921,13.11827812500087,290.8046875,1439967,92951911,
sms-call-internet-mi-2013-11-21.txt,2674276,completed,358700264,8.476148473999274,13.279071889999614,293.10546875,1439974,92923120,
sms-call-internet-mi-2013-11-22.txt,2674269,completed,360316105,8.558791174000362,13.80973632000132,291.6171875,1439974,93160758,
